source.bytes,source.packets,destination.bytes,destination.packets,network.packets,event.duration,network.transport_tcp,network.transport_udp
3.0379747096939602e-09,0.0,2.400000089600003e-08,0.0,0.0,0.0,0.0,1.0
3.0379747096939602e-09,0.0,2.400000089600003e-08,0.0,0.0,0.0,0.0,1.0
3.0784810391565463e-07,1.3168915039427732e-05,3.6960001379840048e-06,1.4638261120961441e-05,1.8192306766892587e-05,9.021250741772342e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.443750529837387e-08,1.0,0.0
2.9518987595859646e-07,1.6680625716608456e-05,3.829333476295116e-06,1.7382935081141713e-05,2.230024700457801e-05,7.732500635804864e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.443750529837387e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.6960001379840048e-06,1.5553152441021532e-05,1.8779155372276217e-05,6.443750529837387e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,7.732500635804864e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.443750529837387e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.443750529837387e-08,1.0,0.0
2.9518987595859646e-07,1.6680625716608456e-05,3.829333476295116e-06,1.7382935081141713e-05,2.230024700457801e-05,9.021250741772342e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.602266792871386e-05,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,7.732500635804864e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.629333468828449e-06,1.3723369800901351e-05,1.7605458161508954e-05,6.443750529837387e-08,1.0,0.0
3.0784810391565463e-07,1.3168915039427732e-05,3.6960001379840048e-06,1.5553152441021532e-05,1.8779155372276217e-05,6.443750529837387e-08,1.0,0.0
